"Year","Measure Type","Leading 10 Ranking","Measure","Group","Subgroup","Estimate Type","Estimate","Standard Error","Lower 95% CI","Upper 95% CI","Reliable"
"2016","By primary diagnosis","0","All diagnoses","Total","All visits","Visit count","145,591,000","8,798,000","128,347,000","162,835,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By sex","Female","Visit count","79,595,000","4,803,000","70,182,000","89,008,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By sex","Male","Visit count","65,996,000","4,119,000","57,923,000","74,070,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By age","0-17 years old","Visit count","32,146,000","2,840,000","26,579,000","37,713,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By age","18-44 years old","Visit count","55,978,000","3,436,000","49,243,000","62,713,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By age","45-64 years old","Visit count","34,359,000","2,099,000","30,245,000","38,473,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By age","65+ years old","Visit count","23,108,000","1,734,000","19,710,000","26,506,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By race/ethnicity","Non-Hispanic white","Visit count","87,290,000","5,617,000","76,281,000","98,298,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By race/ethnicity","Non-Hispanic black","Visit count","30,688,000","2,894,000","25,015,000","36,361,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By race/ethnicity","Hispanic","Visit count","22,936,000","2,484,000","18,066,000","27,805,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By race/ethnicity","Non-Hispanic other","Visit count","4,678,000","623,000","3,458,000","5,899,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By region","Northeast","Visit count","24,514,000","2,991,000","18,652,000","30,376,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By region","Midwest","Visit count","31,428,000","3,834,000","23,913,000","38,944,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By region","South","Visit count","53,485,000","5,412,000","42,877,000","64,092,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By region","West","Visit count","36,165,000","4,940,000","26,483,000","45,846,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By metropolitan statistical area (MSA)","MSA","Visit count","117,189,000","8,454,000","100,620,000","133,758,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By metropolitan statistical area (MSA)","Non-MSA","Visit count","28,402,000","5,057,000","18,491,000","38,313,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By primary payment source","Private insurance","Visit count","36,576,000","2,492,000","31,692,000","41,459,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By primary payment source","Medicare","Visit count","25,916,000","1,849,000","22,292,000","29,540,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By primary payment source","Medicaid","Visit count","49,426,000","3,531,000","42,506,000","56,345,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By primary payment source","Uninsured","Visit count","12,475,000","1,517,000","9,501,000","15,449,000","Yes"
"2016","By primary diagnosis","0","All diagnoses","By primary payment source","Other","Visit count","4,615,000","675,000","3,292,000","5,938,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","Total","All visits","Visit count","34,028,000","2,207,000","29,702,000","38,354,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By sex","Female","Visit count","19,851,000","1,291,000","17,321,000","22,381,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By sex","Male","Visit count","14,177,000","1,005,000","12,207,000","16,146,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By age","0-17 years old","Visit count","6,486,000","691,000","5,131,000","7,841,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By age","18-44 years old","Visit count","12,429,000","861,000","10,742,000","14,117,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By age","45-64 years old","Visit count","8,739,000","609,000","7,545,000","9,934,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By age","65+ years old","Visit count","6,373,000","537,000","5,320,000","7,427,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By race/ethnicity","Non-Hispanic white","Visit count","21,222,000","1,504,000","18,275,000","24,170,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By race/ethnicity","Non-Hispanic black","Visit count","6,332,000","634,000","5,090,000","7,574,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By race/ethnicity","Hispanic","Visit count","5,393,000","731,000","3,962,000","6,825,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By race/ethnicity","Non-Hispanic other","Visit count","1,081,000","154,000","779,000","1,382,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By region","Northeast","Visit count","5,715,000","897,000","3,956,000","7,473,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By region","Midwest","Visit count","7,231,000","897,000","5,473,000","8,988,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By region","South","Visit count","11,748,000","1,150,000","9,494,000","14,002,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By region","West","Visit count","9,335,000","1,386,000","6,617,000","12,052,000","Yes"
"2016","By primary diagnosis","1","1. Symptoms, signs, and abnormal clinical and laboratory findings","By metropolitan statistical area (MSA)","MSA","Visit count","27,928,000","2,136,000","23,741,000","32,115,000","Yes"
